,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q1,condition,Q22,happy,Q3,reason1,reason2,reason3,reason4,reason5,reason6,reason7,reason8,reason9,reason10,reason11,reason12,Q63,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,tol1,tol2,tol3,tol4,tol5,tol6,tol7,tol8,tol9,redist1,redist2,redist3,redist4,emp1,emp2,emp3,emp4,emp5,emp6,emp7,emp8,emp9,emp10,emp11,emp12,emp13,emp14,emp15,emp16,emp17,emp18,emp19,emp20,emp21,gender,age,ethnicity,major,income,ideology,soc.iss,econ.iss,partyID
R_24AbltIcAnglz90,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2023 11:20,17/03/2023 11:52,1,108,1,1,61,1,2,2,3,2,3,3,3,3,4,3,4,3,1,5,5,2,4,5,6,2,3,4,6,2,3,2,2,2,3,4,4,4,3,4,3,2,3,4,3,4,4,4,1,5,4,6,6,3,2,4,4,4,3,4,2,4,4,3,1,2,3,5,2,4,2,3,1,2,2,3,3,4,3,2,4,2,5,2,18,Chinese,Criminology,6,4,2,6,4
R_BMvljJXjQseSDHr,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2023 11:57,17/03/2023 12:28,1,109,2,1,52,1,2,2,2,2,3,4,4,4,4,4,4,4,1,7,6,5,2,4,2,4,6,2,5,4,6,4,3,5,5,4,5,4,6,5,4,3,4,3,3,5,4,4,3,5,7,5,4,4,3,4,4,4,3,3,3,3,4,1,1,5,4,3,4,5,2,2,3,5,1,3,4,4,4,3,3,3,4,2,18,Iranian,Psychology ,6,8,8,8,1
R_1eW3ucAnDUqHEdu,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2023 12:36,17/03/2023 13:03,1,110,1,1,74,1,2,1,4,2,2,2,2,2,2,3,4,3,1,5,3,4,2,3,3,3,3,3,4,3,2,3,3,5,3,4,4,4,3,5,3,3,4,3,2,3,3,3,3,5,4,4,4,4,3,3,3,4,3,3,4,3,4,2,1,2,3,4,3,4,2,1,4,3,2,3,4,4,5,2,4,2,3,2,21,South Asian,Business: Finance,13,3,3,3,1
R_3e7Ud0WGlwFG8VU,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2023 13:31,17/03/2023 13:46,1,111,2,1,29,1,1,2,1,2,3,3,4,5,2,3,2,3,1,4,4,4,3,5,2,3,4,2,5,2,4,3,2,6,3,4,4,3,4,4,2,4,3,2,2,4,4,2,2,5,2,5,5,3,3,3,3,5,3,4,2,2,4,2,2,3,3,2,2,4,3,3,3,4,2,2,3,3,3,2,3,3,3,1,19,korean,,9,4,4,4,2
R_2xzcZanJLCm4I6t,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2023 13:48,17/03/2023 13:56,1,112,2,1,86,1,2,3,4,4,4,3,4,5,5,4,4,4,1,5,3,6,1,7,3,1,4,2,6,4,3,3,4,6,4,2,4,2,4,5,2,2,4,4,1,4,3,5,5,6,6,7,6,6,1,2,4,7,4,3,4,3,5,4,1,4,5,5,3,4,4,1,5,4,1,3,5,5,4,2,3,1,5,2,18,Indo-Canadian,Bachlor of Health Science,3,8,8,8,4
R_zbSPbV2Ml74VjtD,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2023 14:50,17/03/2023 14:59,1,113,2,1,29,1,1,1,2,1,4,4,4,4,3,4,4,4,1,6,5,6,3,3,6,3,6,2,6,5,4,4,5,6,2,5,5,2,5,5,5,3,2,4,3,5,5,5,3,6,5,5,6,4,2,4,4,3,4,3,4,3,3,3,2,2,3,4,2,4,4,2,2,2,3,2,2,3,2,2,3,2,4,2,18,Indian (south asian),health science,5,3,3,5,1
R_RkrIu9z7WeHgq1X,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2024 10:57,17/03/2024 11:20,1,114,2,1,80,1,2,1,3,1,3,2,3,3,3,2,2,2,1,4,5,5,3,5,3,3,5,3,5,3,4,3,3,6,4,4,5,4,3,3,4,4,4,3,2,3,3,5,2,5,5,5,5,3,3,3,4,4,3,3,2,2,2,3,2,1,5,4,1,2,5,2,2,1,2,5,2,4,3,1,2,1,3,2,20,canadian/caucasian,Kinesiology,10,8,8,8,1
R_3qWns1KDNXLPGun,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2024 11:23,17/03/2024 11:39,1,115,2,1,75,1,2,1,5,1,2,2,3,4,4,3,4,4,1,6,4,6,1,7,5,3,6,2,5,5,3,2,2,6,4,6,6,2,5,6,3,3,5,2,1,6,5,2,2,6,6,6,5,3,2,3,2,5,4,3,4,3,4,2,2,4,5,5,5,5,2,2,3,4,2,3,4,4,5,4,4,3,5,2,20,Vietnamese,Business,9,2,1,2,1
R_2QM5V5aZwBQoClo,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2024 11:41,17/03/2024 12:10,1,116,1,1,85,1,1,1,2,1,2,2,2,2,5,3,3,3,1,5,7,4,2,1,5,4,1,1,7,4,4,4,4,4,4,4,4,4,4,4,3,2,5,1,4,1,2,5,1,7,7,7,7,1,1,1,1,5,4,4,4,4,5,5,1,5,5,1,3,5,5,1,3,4,1,3,5,5,5,3,5,5,5,1,21,Persian / Dutch ,Kinesiology,10,8,8,8,4
R_vZGyB6wX9CUobL3,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2024 12:12,17/03/2024 12:50,1,117,1,1,86,1,2,2,3,2,2,3,3,4,3,4,4,4,1,5,5,4,3,4,6,4,3,5,4,3,3,2,2,4,4,4,4,4,4,4,5,4,5,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,3,3,3,4,2,2,3,4,4,3,4,4,2,2,2,2,4,4,4,4,2,3,2,4,2,20,Chinese,health science,10,8,8,8,1
R_2tziq3TgqTTnd0u,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2024 12:53,17/03/2024 13:15,1,118,1,1,70,1,4,4,3,2,3,2,2,3,2,2,2,2,1,5,4,4,3,4,4,4,4,5,4,4,3,3,4,4,5,5,4,4,5,4,4,5,5,3,6,4,5,4,4,5,3,5,4,5,3,5,3,4,3,3,3,3,3,2,3,2,3,4,4,4,3,2,3,2,2,4,4,4,4,2,4,4,4,2,21,Chinese,economics,14,4,5,2,2
R_3r1mzm3JKfrdWPO,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2024 13:16,17/03/2024 13:58,1,119,1,1,50,1,4,5,4,5,3,2,3,2,2,3,3,3,1,4,1,5,6,2,7,4,2,4,3,1,4,3,4,5,4,3,4,6,4,6,4,2,7,2,5,5,6,4,6,3,2,4,4,2,2,5,4,2,3,1,3,4,3,1,5,3,5,2,3,3,4,5,2,1,4,3,4,5,5,2,5,4,5,1,21,Chinese,Business,15,8,2,2,2
R_12E9xtoROaXt5L7,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2024 14:00,17/03/2024 14:17,1,120,2,1,40,1,1,1,4,1,3,3,3,3,4,4,4,4,1,,2,2,2,5,2,2,6,,,2,6,2,2,6,2,2,5,5,2,5,5,2,2,5,2,2,2,5,1,6,6,6,7,1,2,1,2,6,4,3,3,3,5,1,1,3,5,5,2,5,5,5,5,2,1,5,4,5,1,1,5,1,5,1,19,caucasian,Criminology ,4,4,4,3,1
R_1NfbRwPZIHNjj1B,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2024 16:13,17/03/2024 16:23,1,121,2,1,55,1,4,5,4,3,4,4,2,4,5,4,3,4,1,6,6,3,1,4,5,2,4,3,6,4,2,4,2,7,3,4,5,2,4,6,4,3,5,2,2,4,2,5,1,5,5,6,5,4,3,2,3,4,3,4,3,3,4,2,2,2,4,4,4,4,3,2,3,2,1,4,5,4,4,2,4,1,4,2,18,caucasian,nursing,8,3,3,3,1
R_2SquqxdnbBqoMTw,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2024 16:41,17/03/2024 16:54,1,122,1,1,57,1,3,4,4,3,3,2,3,3,2,3,2,3,1,6,4,4,5,5,2,4,5,5,5,3,4,4,4,5,4,3,5,5,5,4,2,4,5,4,4,4,3,,3,5,4,5,4,4,4,4,4,3,3,4,3,3,4,4,1,3,3,2,3,4,4,2,3,4,1,4,3,4,5,2,3,4,4,2,25,,psychology,14,8,8,8,
R_1OYWgEYe2za7l7s,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2024 17:09,17/03/2024 17:23,1,123,2,1,20,1,1,1,4,2,2,3,5,4,5,4,5,4,1,1,4,4,2,2,2,1,2,1,5,5,4,1,1,5,2,3,4,5,2,3,1,1,1,1,4,6,4,1,1,7,6,4,5,4,1,1,3,4,3,3,2,2,2,1,4,3,5,5,4,5,2,4,3,4,2,4,5,4,4,2,4,3,4,2,25,S.Korean,Engineering,6,8,8,8,1
R_3jSq52EBnJ4ofAZ,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2024 17:36,17/03/2024 17:41,1,124,2,1,50,1,1,1,1,1,3,4,3,4,4,3,3,4,1,7,7,2,2,4,2,2,2,2,5,2,2,2,1,5,4,5,3,2,2,6,2,2,2,2,1,5,2,4,2,5,6,7,5,3,1,2,1,5,3,3,2,2,4,2,2,2,4,4,3,4,3,2,1,3,2,3,5,5,4,2,3,2,4,2,19,Chinese,Accounting/ Finance,13,8,8,8,4
R_DUWHlgKdC7sbnuF,Default Response Set,Anonymous,,,142.58.41.202,0,17/03/2024 18:08,17/03/2024 18:24,1,125,2,1,45,1,2,1,2,1,1,4,3,3,2,4,2,3,1,2,5,5,1,5,3,2,5,2,5,5,5,2,2,5,3,5,4,4,4,4,1,2,1,2,2,3,2,4,2,4,4,4,5,4,3,3,3,5,4,3,2,2,5,2,3,3,4,4,4,4,2,2,3,3,2,4,5,4,5,1,4,3,3,1,19,Chinese,Criminology,8,8,8,8,1
R_1msXwBTDzJuHMOy,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2027 15:25,17/03/2027 15:34,1,126,2,1,60,1,1,1,2,2,3,2,3,3,3,3,3,3,1,5,4,2,4,3,3,4,2,2,5,2,4,3,2,4,4,5,3,4,2,3,3,3,3,2,3,4,3,3,2,3,4,5,4,3,3,4,4,3,3,2,3,2,4,2,4,2,4,4,2,4,3,2,2,2,1,4,4,4,3,2,4,2,4,2,19,Canadian ,Psychology,15,6,6,6,4
R_86ONWk9auole1AR,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2027 15:48,17/03/2027 15:54,1,127,1,1,89,1,1,1,2,1,4,4,4,5,5,5,5,4,1,7,7,7,1,6,2,3,6,2,7,2,5,3,1,6,1,1,3,2,2,7,5,3,3,2,1,2,1,5,2,7,7,7,7,1,1,1,1,6,4,4,4,4,5,1,1,2,5,5,4,5,2,1,1,4,1,4,5,5,5,2,5,2,5,2,20,Filipino,Undeclared,8,2,1,2,1
R_1ewvzNec6TRkPtJ,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2027 16:37,17/03/2027 16:47,1,128,2,1,40,1,1,1,2,1,4,4,4,4,5,4,4,4,1,6,6,5,2,5,3,2,4,2,6,5,3,2,2,7,2,5,5,2,3,5,2,1,3,3,3,5,3,5,1,6,6,6,6,3,2,2,2,6,4,4,3,2,5,1,1,2,5,4,3,5,2,1,1,2,1,4,3,5,4,3,4,3,4,2,18,punjabi,sciences-bpk,7,3,2,3,1
R_1llZWfrkKev9xzj,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2027 17:10,17/03/2027 17:21,1,129,1,1,85,1,2,1,2,2,3,3,3,3,3,3,3,3,1,4,3,2,2,3,2,4,1,1,5,2,1,4,2,4,4,4,3,3,2,3,1,1,2,2,6,4,1,2,1,5,5,6,6,4,2,1,2,4,3,3,2,2,4,1,1,3,4,5,5,4,4,2,3,4,1,1,4,4,5,1,3,3,5,2,18,Chinese,Psychology,4,4,3,4,1
R_2f3Uam9JJKiXV82,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/2027 17:34,17/03/2027 17:49,1,130,1,1,62,1,2,2,2,2,3,2,3,4,3,3,2,2,1,3,3,1,6,4,5,3,2,5,4,2,4,3,3,2,4,6,2,5,2,4,2,3,3,2,5,2,2,4,2,5,4,5,5,4,5,4,5,4,3,2,3,2,3,2,3,2,4,2,3,4,4,3,4,3,3,3,4,1,3,2,2,3,3,2,19,chinese,psychology,10,2,3,3,2
R_1onGijoBiLHFqOG,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/1930 9:32,17/03/1930 9:58,1,131,1,1,40,1,2,2,3,3,5,5,4,5,5,4,4,4,1,6,4,3,2,7,6,3,5,1,6,4,3,2,5,7,3,2,6,2,6,5,3,5,5,3,2,5,5,5,3,7,7,7,7,2,1,3,2,4,4,3,3,4,5,1,2,2,3,4,5,4,2,1,2,4,1,3,4,5,5,4,2,2,4,2,21,Indo-Canadian,Kinesiology,5,4,4,4,1
R_6mREJjbyS3EzfY5,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/1930 10:00,17/03/1930 10:51,1,132,1,1,50,1,3,3,1,4,4,4,4,3,4,4,4,4,1,6,6,5,3,6,5,3,4,3,6,4,4,3,6,6,5,5,5,4,4,5,5,5,5,6,2,4,5,6,4,5,6,2,4,4,5,5,6,4,3,3,4,3,2,4,3,5,4,3,3,5,4,2,1,4,4,4,4,4,3,2,1,1,1,1,19,chinese ,kinesiology ,3,8,8,8,2
R_1mlKrpBM5n6ua7p,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/1930 10:55,17/03/1930 11:24,1,133,2,1,100,1,1,2,1,1,3,2,2,2,3,3,2,3,1,5,5,4,3,5,3,2,5,3,5,4,4,2,3,4,4,5,3,3,4,4,4,3,5,4,3,4,5,4,4,5,5,5,5,5,3,3,3,4,3,3,3,3,4,3,2,3,3,2,2,4,4,3,3,2,3,3,2,3,3,2,3,2,2,1,18,canadian,criminology,12,8,8,8,3
R_1qU57YCUMcvFZqW,Default Response Set,Anonymous,,,142.58.41.208,0,17/03/1930 11:26,17/03/1930 12:27,1,134,2,1,65,1,3,2,5,2,2,2,4,4,3,2,2,2,1,6,5,6,4,6,5,5,3,2,7,4,3,4,3,5,5,6,5,2,4,5,5,1,6,5,1,3,6,5,2,6,6,7,7,2,2,2,2,5,4,4,4,4,5,4,1,5,4,5,5,5,2,1,3,5,1,3,5,5,5,4,4,4,5,2,18,Caucasian,Business,6,8,8,8,1
R_3PF6HhlIGciivvJ,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/1931 10:38,17/03/1931 11:24,1,135,1,1,55,1,1,1,2,2,2,2,3,4,3,4,3,4,1,6,4,3,5,4,3,2,1,2,5,3,1,3,4,6,5,2,5,5,4,2,4,2,5,1,2,6,5,3,2,2,4,5,4,2,2,1,2,4,3,3,4,2,3,1,3,2,4,4,2,3,4,3,,4,2,3,2,2,5,2,2,2,3,1,21,Canadian,Business,10,3,4,3,1
R_3fuCecGmj3prmOu,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/1931 11:27,17/03/1931 11:50,1,136,2,1,45,1,2,1,3,1,5,4,4,4,4,4,3,3,1,6,5,5,3,2,3,3,4,3,5,5,4,5,2,6,3,4,4,2,5,5,3,2,2,5,2,6,4,5,2,7,5,6,5,2,1,4,4,6,4,4,3,3,4,2,2,5,3,4,5,4,3,1,3,4,2,3,4,4,5,3,3,2,2,2,20,Asian/Pacific Islander,Undecided,1,2,1,3,4
R_6rPJHpMYoHK7mzT,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/1931 11:52,17/03/1931 12:36,1,137,1,1,70,1,1,1,1,1,5,4,4,5,5,3,3,3,1,6,7,2,2,5,2,3,2,1,6,4,4,2,1,6,2,4,3,1,2,5,2,2,1,4,1,5,2,3,1,5,6,7,7,1,1,1,1,6,4,4,3,3,4,2,1,1,4,5,1,4,2,1,1,4,1,4,4,3,5,1,3,1,4,2,20,caucasian,criminology,15,2,1,2,1
R_uamYRibDdS07OMx,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/1931 12:37,17/03/1931 13:11,1,138,2,1,51,1,2,2,3,2,3,3,3,4,4,3,4,4,1,6,6,5,3,5,6,1,5,3,5,3,4,2,2,5,3,5,3,2,3,6,3,3,3,2,2,4,3,5,2,6,6,6,6,3,2,2,2,6,4,4,4,2,5,5,4,5,2,5,3,2,4,2,5,4,2,4,4,4,5,4,2,4,2,2,18,white,history,5,3,2,4,4
R_2ZKY9RVVogAIFV1,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/1931 13:13,17/03/1931 13:42,1,139,1,1,75,1,2,1,3,3,4,3,4,4,3,3,3,4,1,6,5,4,3,5,3,4,4,2,5,,3,5,3,6,4,5,4,3,5,,2,3,4,2,5,,2,3,2,5,5,3,3,5,5,4,4,3,3,2,3,2,4,2,1,1,5,4,4,4,2,2,4,4,1,3,4,5,5,3,4,4,5,2,18,White,Criminology,15,8,8,8,4
R_2rUxmIVYkdcKjWu,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/1931 13:44,17/03/1931 14:20,1,140,2,1,30,1,2,2,4,2,5,3,5,3,5,4,5,3,1,6,6,4,5,6,7,5,3,2,6,3,2,1,2,5,5,4,2,6,3,5,3,3,5,5,3,6,5,6,3,6,7,7,7,2,2,3,3,5,4,4,2,2,4,3,1,3,5,5,5,4,3,1,3,5,1,2,4,4,4,4,3,3,3,1,21,Asian,Psychology,10,8,8,8,1
R_2f1mSxccn7TDu0i,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/1931 14:22,17/03/1931 14:44,1,141,2,1,30,1,4,4,3,4,5,3,4,5,5,5,5,5,1,7,6,2,3,3,2,3,3,1,6,3,2,2,2,6,2,6,6,2,6,6,6,1,2,4,1,6,2,5,1,5,6,6,6,2,1,1,1,6,4,4,3,3,4,4,1,4,3,4,5,5,5,5,2,4,2,4,5,4,4,2,4,2,4,2,19,punjabi,criminology ,10,8,2,8,1
R_3rZgUjDhOrV12YY,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/1931 14:45,17/03/1931 15:25,1,142,2,1,40,1,3,1,4,1,1,1,2,1,5,1,3,2,1,5,3,4,4,6,3,4,3,2,6,2,4,1,4,6,1,1,4,1,2,6,5,2,5,5,4,6,4,5,2,7,7,7,7,1,1,1,1,4,3,4,3,3,5,4,2,3,5,5,3,3,4,2,1,3,2,3,4,4,5,2,4,2,3,2,18,arab,international studies,1,4,4,3,1
R_2b433E2vOdZlTaZ,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/1931 16:14,17/03/1931 16:21,1,143,1,1,33,1,3,4,4,3,4,5,5,5,5,5,5,5,1,4,4,5,3,5,5,3,5,4,5,4,6,4,4,4,2,4,6,3,6,3,6,3,6,4,3,3,6,6,4,5,5,6,6,3,4,2,2,6,3,3,3,3,2,3,4,4,4,5,5,4,2,2,5,5,3,3,2,5,3,3,4,3,4,2,20,south Asian ,criminology ,13,3,5,5,1
R_6rK6Hlj5ZR5Bc7D,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/1931 16:31,17/03/1931 16:39,1,144,2,1,40,1,4,4,5,4,4,2,2,2,2,3,2,3,1,6,1,7,2,2,3,2,4,5,3,5,3,1,6,5,5,2,5,5,4,5,5,5,6,2,2,6,6,5,7,6,3,5,4,4,3,4,4,4,3,3,2,2,3,4,3,3,3,3,4,3,3,4,4,4,1,4,4,3,3,2,3,3,4,1,19,Chinese,Computer Science,2,8,8,8,4
R_2E7g7Lq9uJbaORH,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/1931 17:07,17/03/1931 17:22,1,145,1,1,71,1,4,2,2,4,5,4,5,4,4,3,3,3,1,4,5,3,5,6,5,4,3,1,6,4,4,3,4,4,5,4,4,3,3,5,4,3,5,5,4,5,4,6,4,6,6,7,6,4,2,5,5,4,4,4,2,3,3,2,1,3,4,5,3,4,5,2,2,3,2,3,4,4,4,2,4,3,5,1,18,italian,criminology,,9,9,9,4
R_3CZAO7RVvyDpc6A,Default Response Set,Anonymous,,,142.58.41.232,0,17/03/1931 17:34,17/03/1931 17:38,1,146,1,1,50,1,5,5,1,1,1,1,5,5,5,5,5,5,1,7,7,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4,5,5,5,5,1,5,5,5,5,1,1,1,2,3,3,3,3,3,3,3,3,1,21,Hindi,Crim,1,8,8,8,2
R_2dKoJN7weqxSYuo,Default Response Set,Anonymous,,,142.58.41.232,0,17/04/2006 9:42,17/04/2006 11:33,1,147,2,1,91,1,3,3,4,3,3,3,3,3,3,2,2,2,1,7,6,5,3,5,6,5,5,3,6,5,2,2,3,5,3,5,5,3,5,6,3,3,5,1,5,5,5,5,3,5,7,7,7,1,1,1,1,5,4,4,4,4,5,2,1,4,4,5,3,4,5,3,5,4,1,5,5,4,5,1,4,1,4,1,20,Caucasian,Undeclared,15,2,1,1,2
R_emniWlO56JfHGYF,Default Response Set,Anonymous,,,142.58.41.232,0,17/04/2006 11:34,17/04/2006 11:50,1,148,2,1,70,1,2,3,3,2,3,3,4,1,3,3,3,3,1,6,6,2,2,4,2,4,1,2,5,1,4,1,1,6,4,4,5,2,1,4,2,2,2,1,2,4,2,5,2,5,4,6,6,3,2,2,2,6,4,3,3,2,4,4,2,1,5,5,2,3,4,2,4,2,1,4,4,4,5,1,4,1,4,1,19,Caucasian/White,Business,10,6,6,3,3
R_3eliB2bJgXeASLc,Default Response Set,Anonymous,,,142.58.41.202,0,17/04/2006 12:47,17/04/2006 12:56,1,149,1,1,35,1,1,1,2,1,5,5,4,5,5,4,4,4,1,7,6,5,1,6,3,4,5,1,6,2,6,2,1,7,5,6,3,3,5,7,3,1,1,4,2,2,2,6,1,6,6,7,6,1,1,3,3,6,4,4,4,4,5,1,1,2,5,5,4,5,3,1,2,4,1,4,5,5,5,3,4,3,5,2,18,iranian,criminology,7,2,1,1,4
R_2SeSd8vii5t96sw,Default Response Set,Anonymous,,,142.58.41.202,0,17/04/2006 13:44,17/04/2006 13:54,1,150,1,1,50,1,2,3,5,3,4,4,4,4,4,5,4,4,1,6,5,3,3,2,5,5,2,2,6,2,1,5,1,3,3,5,5,3,3,3,2,1,2,2,3,5,2,4,2,5,6,7,6,6,2,1,2,6,4,4,3,3,5,4,1,5,4,5,5,5,4,2,4,5,1,3,5,5,5,4,4,5,4,2,19,chinese,psycholoy,8,1,1,1,1
R_vf9hxj0Utmopo2Z,Default Response Set,Anonymous,,,142.58.41.202,0,17/04/2006 14:10,17/04/2006 14:20,1,151,1,1,70,1,3,2,3,2,4,4,3,4,4,4,4,4,1,7,6,5,1,6,1,3,3,2,6,2,3,1,1,5,3,3,5,3,3,7,2,2,6,2,1,6,5,5,5,7,7,7,7,2,1,1,1,5,4,4,3,3,5,2,1,4,4,5,2,4,2,1,2,2,1,4,4,4,4,2,3,2,5,2,19,Chinese,English,3,2,2,2,1
R_2flIhAA13HSJUWw,Default Response Set,Anonymous,,,142.58.41.202,0,17/04/2006 14:52,17/04/2006 14:58,1,152,2,1,70,1,3,1,5,3,4,4,4,4,4,3,4,4,1,6,6,6,2,6,3,2,6,2,6,6,6,2,2,5,3,3,5,5,5,5,5,3,5,5,2,3,5,5,3,6,6,6,6,3,2,2,2,6,3,3,2,4,3,4,4,2,4,5,2,4,5,3,5,2,2,4,4,4,2,2,4,1,4,2,18,Indian,Psychology,7,2,3,5,1
R_6RU3FNXEFPTETXr,Default Response Set,Anonymous,,,142.58.41.202,0,17/04/2006 15:13,17/04/2006 15:20,1,153,1,1,65,1,2,2,5,3,3,3,4,5,4,4,4,4,1,6,3,4,3,5,7,3,2,3,3,2,2,2,5,6,5,4,5,3,3,2,2,1,5,5,3,4,6,5,4,5,4,7,6,3,3,2,2,5,3,3,3,2,4,1,1,1,5,4,5,5,4,2,1,3,2,5,4,5,5,2,4,3,4,1,18,Indian,Biomedical Physiology,12,2,2,2,2
R_Y6rbv6FLDLGYvMl,Default Response Set,Anonymous,,,142.58.41.202,0,17/04/2006 15:41,17/04/2006 15:51,1,154,2,1,70,1,1,1,3,2,3,3,2,3,4,3,3,3,1,7,4,4,3,4,3,4,4,2,6,3,2,5,2,4,4,5,4,3,4,5,3,4,3,5,2,5,5,5,4,6,5,6,6,4,1,1,1,5,3,3,3,3,4,1,1,4,5,5,2,5,4,2,2,3,2,4,5,5,5,2,4,4,4,2,20,chinese,criminology ,1,3,4,4,1
R_29ppMDJjXvYmDuN,Default Response Set,Anonymous,,,142.58.41.208,0,17/04/2007 11:08,17/04/2007 11:15,1,155,1,1,60,1,1,1,2,1,5,4,4,4,5,4,5,4,1,6,4,3,2,4,5,2,2,1,5,2,2,2,1,6,4,4,2,3,2,5,3,1,4,2,3,5,3,3,1,6,6,6,6,3,2,3,4,6,4,4,3,4,5,4,1,3,5,4,5,5,2,5,2,4,1,4,5,5,5,3,4,3,4,2,18,east-indian,not sure yet,4,2,2,3,1
R_3MoJtBJWtE1bHW2,Default Response Set,Anonymous,,,142.58.41.232,0,17/04/2007 11:21,17/04/2007 11:51,1,156,1,1,60,1,2,3,3,2,4,3,3,3,4,3,3,3,1,5,5,4,4,5,5,3,3,3,5,3,4,4,3,6,4,2,5,2,4,4,3,3,5,4,3,5,4,3,4,6,5,6,5,4,3,3,3,5,3,3,2,3,3,2,2,3,4,3,2,4,3,2,3,3,2,2,3,3,4,2,3,2,3,1,18,Asian,"Psychology, trying to transfer into Computer Science",4,8,8,8,2
R_2ONGESWpWBPLXaO,Default Response Set,Anonymous,,,142.58.41.232,0,17/04/2007 11:53,17/04/2007 12:21,1,157,1,1,50,1,4,3,4,3,4,3,1,3,3,4,1,4,1,6,5,4,6,5,6,3,4,4,4,4,4,3,6,3,7,3,4,4,3,6,5,4,5,1,5,7,6,3,5,2,5,5,2,6,5,6,6,5,3,2,2,1,2,2,3,2,4,5,4,4,5,3,4,4,1,4,5,5,4,2,3,2,3,1,21,Chinese ,Criminology ,15,6,6,6,3
R_DMhugWCOucqlm8h,Default Response Set,Anonymous,,,142.58.41.232,0,17/04/2007 12:21,17/04/2007 12:52,1,158,2,1,49,1,2,1,3,2,4,3,3,4,3,3,4,3,1,6,6,5,2,5,2,2,5,3,4,4,2,2,3,6,5,4,4,5,4,5,2,2,5,4,2,6,5,5,4,5,5,6,7,4,3,1,6,5,3,2,3,1,4,1,2,3,5,5,5,5,3,3,2,5,2,3,3,5,4,4,3,3,4,2,18,filipino,criminology,6,8,8,8,2
R_28HtTuWUYE1O8Yv,Default Response Set,Anonymous,,,142.58.41.232,0,17/04/2007 12:55,17/04/2007 13:16,1,159,2,1,40,1,4,5,4,4,5,5,4,4,5,4,4,4,1,6,5,3,,5,2,2,5,4,6,2,5,2,2,6,2,5,4,2,3,6,5,6,4,5,2,4,4,3,2,5,5,6,6,4,4,2,2,6,4,4,4,4,4,1,2,5,5,5,3,5,4,2,1,3,1,2,4,5,5,1,4,1,5,2,20,chinese,psychology,6,8,8,8,4
R_3iyELieYPiNMg4g,Default Response Set,Anonymous,,,142.58.41.232,0,17/04/2007 13:19,17/04/2007 14:19,1,160,2,1,81,1,2,1,2,1,2,2,3,4,4,3,3,3,1,4,3,3,2,5,3,2,5,4,5,2,2,3,4,5,4,4,5,2,2,4,2,3,2,1,1,5,4,5,2,6,5,6,6,4,2,4,4,4,3,3,3,3,5,2,1,2,5,5,4,5,4,1,4,3,1,4,4,4,5,2,2,2,5,2,18,"half Korean, hald British ",Criminology ,9,8,8,8,
